,Name,Security Type,Symbol,Issue Period,Issue Size (No. of Shares),Face Value,Market Lot
42,S V J Enterprises Limited,Equity,SVJ ,23 Feb 2023 to 28 Feb 2023,1701000,10.00,3000
43,Patron Exim Limited,Equity,PATRON,21 Feb 2023 to 24 Feb 2023,6180000,10.00,4000
44,Indong Tea Company Limited,Equity,INDONG,09 Feb 2023 to 13 Feb 2023,5004000,10.00,4000
45,Transvoy Logistics India Ltd,Equity,TRANSVOY,20 Jan 2023 to 24 Jan 2023,720000,10.00,1600
46,Dharni Capital Services Ltd,Equity,DHARNI,18 Jan 2023 to 20 Jan 2023,5370000,1.00,6000
47,Eastern Logica Infoway Limited,Equity,ELIL,05 Jan 2023 to 09 Jan 2023,753000,10.00,600
48,Rex Sealing And Packing Industries Limited,Equity,REXSEAL,30 Dec 2022 to 04 Jan 2023,599000,10.00,1000
49,Svs Ventures Limited,Equity,SVS,30 Dec 2022 to 04 Jan 2023,5622000,10.00,6000
50,Pngs Gargi Fashion Jewellery Ltd,Equity,GARGI,08 Dec 2022 to 13 Dec 2022,2600000,10.00,4000
51,Ambo Agritec Limited,Equity,AMBOAGRI,21 Nov 2022 to 24 Nov 2022,3400000,10.00,4000
52,Technopak Polymers Ltd,Equity,TECHNOPACK,02 Nov 2022 to 07 Nov 2022,1430000,10.00,2000
53,Daps Advertising Limited,Equity,DAPS,31 Oct 2022 to 03 Nov 2022,1700000,10.00,4000
54,Pace E Commerce Ventures Ltd,Equity,PACE,29 Sep 2022 to 13 Oct 2022,6459600,10.00,1200
55,Maagh Advertising And Marketing Services Ltd,Equity,MAAGHAD,26 Sep 2022 to 04 Oct 2022,1520000,10.00,2000
56,Vedant Asset Limited,Equity,VASSET,30 Sep 2022 to 04 Oct 2022,750000,10.00,3000
57,Cargosol Logistics Limited,Equity,CARGOSOL,28 Sep 2022 to 30 Sep 2022,2700000,10.00,4000
58,Silicon Rental Solutions Ltd,Equity,SRSOLTD,28 Sep 2022 to 30 Sep 2022,2712000,10.00,1600
59,Cargotrans Maritime Limited,Equity,CARGOTRANS,27 Sep 2022 to 29 Sep 2022,1080000,10.00,3000
60,Reetech International Cargo And Courier Ltd,Equity,REETECH,27 Sep 2022 to 29 Sep 2022,1114800,10.00,1200
61,Steelman Telecom Limited,Equity,STLM,26 Sep 2022 to 29 Sep 2022,2710800,10.00,1200
62,Trident Lifeline Limited,Equity,TLL,26 Sep 2022 to 29 Sep 2022,3499200,10.00,1200
63,Mafia Trends Limited,Equity,MAFIA,22 Sep 2022 to 27 Sep 2022,1284000,10.00,4000
64,Containe Technologies Limited,Equity,CONTAINE,20 Sep 2022 to 22 Sep 2022,1744000,10.00,8000
65,Shantidoot Infra Services Ltd,Equity,SISLD,06 Sep 2022 to 09 Sep 2022,496000,10.00,1600
66,Virtuoso Optoelectronics Limited,Equity,VOEPL,02 Sep 2022 to 07 Sep 2022,5400000,10.00,2000
67,Ep Biocomposites Ltd,Equity,EPBIO,29 Aug 2022 to 05 Sep 2022,504000,10.00,1000
68,Infurnia Holdings Ltd,Equity,INFURNIA,04 Sep 2022 to 04 Sep 2022,38200000,1.00,10000
69,Dipna Pharmachem Limited,Equity,DIPL,25 Aug 2022 to 30 Aug 2022,4002000,10.00,3000
70,Rhetan Tmt Limited,Equity,RHETANTMT,22 Aug 2022 to 25 Aug 2022,8000000,10.00,2000
71,Naturo Indiabull Limited,Equity,NATURO,22 Aug 2022 to 24 Aug 2022,3640000,10.00,4000
72,Olatech Solutions Ltd,Equity,OLATECH,12 Aug 2022 to 19 Aug 2022,700000,10.00,4000
73,Healthy Life Agritech Limited,Equity,HEALTHLIFE,13 Jul 2022 to 18 Jul 2022,10000000,10.00,10000
74,Veerkrupa Jewellers Limited,Equity,VEERKRUPA,29 Jun 2022 to 08 Jul 2022,3000000,10.00,4000
75,B-Right Realestate Limited,Equity,BRIGHTES,30 Jun 2022 to 05 Jul 2022,2899200,10.00,800
76,Jayant Infratech Limited,Equity,JAYANT,30 Jun 2022 to 05 Jul 2022,924000,10.00,2000
77,Kesar India Limited,Equity,KESAR,30 Jun 2022 to 04 Jul 2022,930400,10.00,800
78,Sailani Tours N Travels Limited,Equity,SAILANI,27 Jun 2022 to 30 Jun 2022,1264000,10.00,8000
79,Pearl Green Clubs And Resorts Limited,Equity,PGCRL,27 Jun 2022 to 29 Jun 2022,630000,10.00,600
80,Modis Navnirman Limited,Equity,MODIS,23 Jun 2022 to 28 Jun 2022,1260000,10.00,800
81,Goel Food Products Ltd,Equity,GOEL,15 Jun 2022 to 20 Jun 2022,1001600,10.00,1600
82,Scarnose International Limited,Equity,SCARNOSE,14 Jun 2022 to 17 Jun 2022,1200000,10.00,2000
83,Silver Pearl Hospitality And Luxury Spaces Limited,Equity,SILVERPRL,06 Jun 2022 to 09 Jun 2022,5000000,10.00,8000
84,Fone4 Commnications (India) Limited,Equity,FONE4,25 Apr 2022 to 27 Apr 2022,6800000,10.00,10000
85,Nanavati Ventures Ltd,Equity,NVENTURES,25 Apr 2022 to 27 Apr 2022,436000,10.00,3000
86,Global Longlife Hospital And Research Limited,Equity,GLHRL,21 Apr 2022 to 25 Apr 2022,3500000,10.00,1000
87,Shashwat Furnishing Solutions Limited,Equity,SFSL,20 Apr 2022 to 25 Apr 2022,558000,10.00,3000
88,Eighty Jewellers Limited,Equity,EIGHTY,31 Mar 2022 to 05 Apr 2022,2700000,10.00,3000
89,Sunrise Efficient Marketing Ltd,Equity,SEML,30 Mar 2022 to 05 Apr 2022,1380000,10.00,1000
90,Dhyaani Tile And Marblez Limited,Equity,DHYAANI,30 Mar 2022 to 04 Apr 2022,480000,10.00,2000
91,Achyut Healthcare Limited,Equity,ACHYUT,17 Mar 2022 to 22 Mar 2022,1800000,10.00,6000
92,Evoq Remedies Limited,Equity,EVOQ,17 Mar 2022 to 22 Mar 2022,3600000,10.00,4000
93,Bhatia Colour Chem Limited,Equity,BCCL,14 Mar 2022 to 16 Mar 2022,5000000,10.00,1600
94,Ekennis Software Service Ltd,Equity,EKENNIS,21 Feb 2022 to 24 Feb 2022,400000,10.00,1600
95,Maruti Interior Products Ltd,Equity,MARUTIIPL,03 Feb 2022 to 08 Feb 2022,2000000,10.00,2000
96,Quality Ro Industries Limited,Equity,QRIL,27 Jan 2022 to 01 Feb 2022,530000,10.00,2000
97,Safa Systems & Technologies Limited,Equity,SSTL,28 Jan 2022 to 01 Feb 2022,4000000,10.00,10000
98,Alkosign Limited,Equity,ALKOSIGN,18 Jan 2022 to 21 Jan 2022,2700000,10.00,3000
99,Dj Mediaprint Logistics Ltd,Equity,DJMPL,18 Jan 2022 to 20 Jan 2022,1200000,10.00,1000
100,Fabino Life Science Limited,Equity,FABINO,31 Dec 2021 to 05 Jan 2022,900000,10.00,3000
101,Ascensive Educare Limited,Equity,ASCENSIVE,30 Dec 2021 to 04 Jan 2022,868000,10.00,4000
102,Brandbucket Media & Technology Limited,Equity,BRNDBUCKET,20 Dec 2021 to 23 Dec 2021,1500000,10.00,2000
103,Clara Industries Limited,Equity,CLARA,16 Dec 2021 to 21 Dec 2021,702000,10.00,3000
104,Wherrelz It Solutions Ltd,Equity,WITS,16 Dec 2021 to 21 Dec 2021,117600,10.00,800
105,Dmr Hydroengineering & Infrastructures Ltd,Equity,DMR,24 Nov 2021 to 29 Nov 2021,996000,10.00,6000
106,Omnipotent Industries Limited,Equity,OMNIPOTENT,16 Nov 2021 to 22 Nov 2021,3000000,10.00,2000
107,Suyog Gurbaxani Funicular Ropeways Limited,Equity,SGFRL,01 Nov 2021 to 08 Nov 2021,6555000,10.00,3000
108,Adishakti Loha And Ispat Limited,Equity,ADISHAKTI,30 Sep 2021 to 05 Oct 2021,1820000,10.00,10000
109,Cwd Limited,Equity,CWD,30 Sep 2021 to 05 Oct 2021,1000800,10.00,800
110,Samor Reality Limited,Equity,SAMOR,30 Sep 2021 to 05 Oct 2021,1300000,10.00,2000
111,Promax Power Limited,Equity,PROMAX,30 Sep 2021 to 04 Oct 2021,1600000,10.00,10000
112,Shri Venkatesh Refineries Limited,Equity,SVRL,29 Sep 2021 to 01 Oct 2021,2928000,10.00,3000
113,Getalong Enterprise Limited,Equity,GETALONG,27 Sep 2021 to 30 Sep 2021,750000,10.00,2000
114,Markolines Traffic Controls Limited,Equity,MTCL,15 Sep 2021 to 20 Sep 2021,5128000,10.00,1600
115,Sbl Infratech Ltd,Equity,SBL,16 Sep 2021 to 20 Sep 2021,213600,10.00,1200
116,Platinumone Business Services Ltd,Equity,POBS,02 Sep 2021 to 07 Sep 2021,422400,10.00,1200
117,Aashka Hospitals Ltd,Equity,AASHKA,10 Aug 2021 to 24 Aug 2021,8400000,10.00,1000
118,Gretex Corporate Services Ltd,Equity,GCSL,27 Jul 2021 to 30 Jul 2021,301600,10.00,800
119,Aa Plus Tradelink Limited,Equity,AAPLUSTRAD,08 Jul 2021 to 13 Jul 2021,3600000,10.00,8000
120,Focus Business Solutions Ltd,Equity,FOCUS,30 Jun 2021 to 05 Jul 2021,642000,10.00,6000
121,Times Green Energy (India) Ltd,Equity,TIMESGREEN,16 Jun 2021 to 22 Jun 2021,664000,10.00,2000
122,Adeshwar Meditex Limited,Equity,ADESHWAR,15 Jun 2021 to 18 Jun 2021,3900000,10.00,6000
123,Navoday Enterprises Ltd,Equity,NAVODAYENT,14 Jun 2021 to 17 Jun 2021,2304000,10.00,6000
124,Kuberan Global Edu Solutions Limited,Equity,KGES,20 Apr 2021 to 27 Apr 2021,558000,10.00,6000
125,Jetmall Spices And Masala Limited,Equity,JETMALL,31 Mar 2021 to 07 Apr 2021,2490000,10.00,6000
126,Rajeshwari Cans Limited,Equity,RCAN,31 Mar 2021 to 06 Apr 2021,2016000,10.00,6000
127,Niks Technology Limited,Equity,NTL,19 Mar 2021 to 23 Mar 2021,100200,10.00,600
128,Knowledge Marine & Engineering Works Limited,Equity,KMEW,09 Mar 2021 to 12 Mar 2021,2736000,10.00,3000
129,Rangoli Tradecomm Limited,Equity,RTL,09 Mar 2021 to 12 Mar 2021,2181000,10.00,600
130,Ashapuri Gold Ornament Limited,Equity,AGOL,03 Mar 2021 to 08 Mar 2021,3705600,10.00,1600
131,Adjia Technologies Ltd,Equity,ADJIA,02 Mar 2021 to 04 Mar 2021,270400,10.00,1600
132,Mrp Agro Limited,Equity,MRP,08 Feb 2021 to 10 Feb 2021,810000,10.00,3000
133,Net Pix Shorts Digital Media Limited,Equity,NETPIX,18 Nov 2020 to 23 Nov 2020,900000,10.00,4000
134,Shine Fashions India Ltd,Equity,SHINEFASH,22 Oct 2020 to 26 Oct 2020,399000,10.00,3000
135,Veer Global Infracontruction Limited,Equity,VGIL,30 Sep 2020 to 09 Oct 2020,1756000,10.00,4000
136,G M Polyplast Ltd,Equity,GMPL,30 Sep 2020 to 06 Oct 2020,508800,10.00,800
137,Atam Valves Limited,Equity,ATAM,18 Sep 2020 to 25 Sep 2020,1125000,10.00,3000
138,Secmark Consultancy Ltd,Equity,SECMARK,18 Sep 2020 to 23 Sep 2020,1114000,10.00,1000
139,Advait Infratech Limited,Equity,ADVAIT,15 Sep 2020 to 18 Sep 2020,1350000,10.00,2000
140,Trekkingtoes.Com Limited,Equity,HIPPOCABS,18 Aug 2020 to 20 Aug 2020,433200,10.00,1200
141,Suratwwala Business Group Ltd,Equity,SBGLP,03 Aug 2020 to 05 Aug 2020,4600000,10.00,8000
142,Bonlon Industries Limited,Equity,BONLON,30 Jun 2020 to 03 Jul 2020,3756000,10.00,4000
143,Billwin Industries Ltd,Equity,BILLWIN,18 Jun 2020 to 22 Jun 2020,666000,10.00,3000
144,Nirmitee Robotics India Limited,Equity,NIRMITEE,31 Mar 2020 to 09 Apr 2020,175200,10.00,600
145,Dj Mediaprint & Logistics Limited,Equity,DJML,26 Mar 2020 to 31 Mar 2020,1200000,10.00,6000
146,Cospower Engineering Ltd,Equity,COSPOWER,17 Mar 2020 to 19 Mar 2020,400000,10.00,2000
147,Ro Jewels Limited,Equity,ROJL,12 Mar 2020 to 17 Mar 2020,1365000,10.00,3000
148,Sm Auto Stamping Ltd,Equity,SMAUTO,03 Mar 2020 to 05 Mar 2020,3840000,10.00,8000
149,Icl Organic Dairy Products Ltd,Equity,ICLORGANIC,31 Jan 2020 to 07 Feb 2020,2040000,10.00,6000
150,Chandra Bhagat Pharma Limited,Equity,CBPL,31 Jan 2020 to 06 Feb 2020,2000000,10.00,2000
151,Janus Corporation Limited,Equity,JANUSCORP,27 Jan 2020 to 30 Jan 2020,1599000,10.00,3000
152,Tranway Technologies Limited,Equity,TRANWAY,27 Jan 2020 to 29 Jan 2020,4240000,10.00,10000
153,Gian Life Care Limited,Equity,GIANLIFE,31 Dec 2019 to 03 Jan 2020,1416000,10.00,6000
154,Valencia Nutrition Limited,Equity,VALENCIA,23 Dec 2019 to 27 Dec 2019,1572000,10.00,3000
155,Anuroop Packaging Ltd,Equity,ANUROOP,08 Nov 2019 to 13 Nov 2019,2030000,10.00,10000
156,Galactico Corporate Services Ltd,Equity,GALACTICO,24 Sep 2019 to 27 Sep 2019,1608000,10.00,6000
157,Misquita Engineering Ltd,Equity,MISQUITA,23 Sep 2019 to 25 Sep 2019,716000,10.00,4000
158,Novateor Research Laboratories Ltd,Equity,NOVATEOR,30 Aug 2019 to 04 Sep 2019,1872000,10.00,6000
159,Alphalogic Techsys Limited,Equity,ALPHALOGIC,26 Aug 2019 to 28 Aug 2019,736000,10.00,1600
160,Transpact Enterprises Ltd,Equity,TRANSPACT,26 Aug 2019 to 28 Aug 2019,104000,10.00,1000
161,Sk International Export Limited,Equity,SKIEL,28 Jun 2019 to 05 Jul 2019,1980000,10.00,6000
162,City Pulse Multiplex Ltd,Equity,CPML,27 Jun 2019 to 03 Jul 2019,1328000,10.00,4000
163,Earum Pharmaceuticals Ltd,Equity,EARUM,21 Jun 2019 to 26 Jun 2019,1848000,10.00,3000
164,Sbc Exports Ltd,Equity,SBC,24 Jun 2019 to 26 Jun 2019,2982000,10.00,6000
165,Anand Rayons Limited,Equity,ARL,18 Jun 2019 to 24 Jun 2019,4688000,10.00,4000
166,Parshva Enterprise Limited,Equity,PARSHVA,19 Jun 2019 to 21 Jun 2019,810000,10.00,3000
167,Meera Industries Ltd,Equity,MEERA,13 Jun 2019 to 18 Jun 2019,522000,10.00,500
168,Evans Electric Limited,Equity,EVANS,30 Apr 2019 to 03 May 2019,372000,10.00,2000
169,White Organic Retail Limited,Equity,WORL,26 Apr 2019 to 02 May 2019,2454000,10.00,2000
170,G.K.P. Printing & Packaging Limited,Equity,GKP,23 Apr 2019 to 26 Apr 2019,2056000,10.00,4000
171,V R Films & Studios Limited,Equity,VRFILMS,12 Apr 2019 to 18 Apr 2019,372000,10.00,2000
172,Jinaam'S Dress Limited,Equity,JINAAM,09 Apr 2019 to 15 Apr 2019,7200000,10.00,2000
173,Northern Spirits Limited,Equity,NSL,22 Mar 2019 to 27 Mar 2019,4302000,10.00,3000
174,Roopshri Resorts Limited,Equity,ROOPSHRI,19 Mar 2019 to 22 Mar 2019,1800000,10.00,6000
175,Humming Bird Education Limited,Equity,HBEL,15 Mar 2019 to 19 Mar 2019,163000,10.00,1000
176,Aartech Solonics Limited,Equity,AARTECH,12 Mar 2019 to 18 Mar 2019,2120000,10.00,4000
177,Ashapuri Gold Ornament Ltd,Equity,AGOL,13 Mar 2019 to 18 Mar 2019,5750000,10.00,2000
178,Mahip Industries Limited,Equity,MAHIP,26 Feb 2019 to 01 Mar 2019,5196000,10.00,4000
179,Gleam Fabmat Limited,Equity,GLEAM,19 Feb 2019 to 22 Feb 2019,3120000,10.00,10000
180,Kranti Industries Limited,Equity,KRANTI,14 Feb 2019 to 20 Feb 2019,2319000,10.00,3000
181,Jonjua Overseas Limited,Equity,JONJUA,12 Feb 2019 to 15 Feb 2019,1300000,10.00,10000
182,Anmol India Ltd,Equity,ANMOL,12 Feb 2019 to 14 Feb 2019,3100000,10.00,4000
183,K.P.I. Global Infrastructure Limited,Equity,KPIGLOBAL,08 Jan 2019 to 11 Jan 2019,4992000,10.00,1600
184,Axita Cotton Limited,Equity,AXITA,27 Dec 2018 to 02 Jan 2019,1752000,10.00,2000
185,Shankar Lal Rampal Dye Chem Limited,Equity,SRD,12 Dec 2018 to 14 Dec 2018,1620000,10.00,3000
186,Diksha Greens Limited,Equity,DGL,26 Nov 2018 to 28 Nov 2018,4440000,10.00,4000
187,Roni Households Ltd,Equity,RONI,19 Nov 2018 to 22 Nov 2018,1500000,10.00,6000
188,Shree Krishna Infrastructure Ltd,Equity,SKIFL,15 Nov 2018 to 22 Nov 2018,900000,10.00,10000
189,Bcpl Railway Infrastructure Ltd,Equity,BCPL,05 Oct 2018 to 19 Oct 2018,4860000,10.00,4000
190,Veeram Infra Engineering Limited,Equity,VIEL,28 Sep 2018 to 12 Oct 2018,2106000,10.00,2000
191,S M Gold Limited,Equity,SMGOLD,03 Oct 2018 to 10 Oct 2018,2500000,10.00,4000
192,Sun Retail Limited,Equity,SUNRETAIL,27 Sep 2018 to 08 Oct 2018,4398000,10.00,6000
193,Aki India Limited,Equity,AKI,28 Sep 2018 to 05 Oct 2018,2800000,10.00,10000
194,Shubham Polyspin Ltd,Equity,SHUBHAM,28 Sep 2018 to 04 Oct 2018,1500000,10.00,3000
195,A-1 Acid Limited,Equity,AAL,25 Sep 2018 to 01 Oct 2018,3000000,10.00,2000
196,Dolfin Rubbers Limited,Equity,DOLFIN,27 Sep 2018 to 01 Oct 2018,2000000,10.00,4000
197,Mac Hotels Limited,Equity,MAC,19 Sep 2018 to 25 Sep 2018,810000,10.00,6000
198,Sky Gold Limited,Equity,SKYGOLD,18 Sep 2018 to 24 Sep 2018,1420000,10.00,800
199,Ranjeet Mechatronics Limited,Equity,RANJEET,12 Sep 2018 to 17 Sep 2018,1800000,10.00,6000
200,Synergy Green Industries Ltd,Equity,SYNERGY,04 Sep 2018 to 11 Sep 2018,3780000,10.00,2000
201,Add Shop Promotions Ltd,Equity,ASPL,21 Aug 2018 to 30 Aug 2018,2396000,10.00,4000
202,Sungold Media And Entertainment Ltd,Equity,SMEL,09 Aug 2018 to 14 Aug 2018,1350000,10.00,10000
203,Deep Polymers Limited,Equity,DPL,08 Aug 2018 to 13 Aug 2018,3810000,10.00,3000
204,Salebhai Internet Ltd,Equity,SALEBHAI,27 Jul 2018 to 01 Aug 2018,2259600,10.00,1200
205,Ganesh Films India Ltd,Equity,GFIL,16 Jul 2018 to 23 Jul 2018,1052800,10.00,1600
206,Supershakti Metaliks Ltd,Equity,SUPERSHAK,17 Jul 2018 to 20 Jul 2018,1600200,10.00,300
207,Raw Edge Industrial Solutions Ltd,Equity,RAWEDGE,05 Jul 2018 to 10 Jul 2018,2291200,10.00,1600
208,Rajnish Wellness Ltd,Equity,RAJNISH,25 Jun 2018 to 29 Jun 2018,1261200,10.00,1200
209,Palm Jewels Limited,Equity,PALMJEWELS,25 May 2018 to 04 Jun 2018,2968000,10.00,4000
210,Waa Solar Limited,Equity,WAA,31 May 2018 to 04 Jun 2018,2000000,10.00,800
211,Nakoda Group Of Industries Ltd,Equity,NGIL,23 May 2018 to 29 May 2018,1852000,10.00,4000
212,Arihant Institute Ltd,Equity,ARIHANTINS,23 May 2018 to 28 May 2018,2500000,10.00,4000
213,Megastar Foods Ltd,Equity,MEGASTAR,14 May 2018 to 16 May 2018,2680000,10.00,4000
214,U H Zaveri Ltd,Equity,UHZAVERI,08 May 2018 to 14 May 2018,2220000,10.00,3000
215,Milestone Furniture Ltd,Equity,MILEFUR,07 May 2018 to 11 May 2018,3297000,10.00,3000
216,Akshar Spintex Limited,Equity,AKSHAR,27 Apr 2018 to 03 May 2018,6747000,10.00,3000
217,Indo Us Bio-Tech Limited,Equity,INDOUS,30 Apr 2018 to 03 May 2018,1430000,10.00,2000
218,Dhruv Consultancy Services Limited,Equity,DCSL,27 Apr 2018 to 02 May 2018,4296000,10.00,2000
219,Dr Lalchandani Labs Limited,Equity,DLCL,25 Apr 2018 to 27 Apr 2018,1400000,10.00,4000
220,Garv Industries Ltd,Equity,GARVIND,12 Apr 2018 to 17 Apr 2018,3200000,10.00,10000
221,Taylormade Renewables Ltd,Equity,TRL,22 Mar 2018 to 27 Mar 2018,3240000,10.00,4000
222,Orissa Bengal Carrier Ltd,Equity,OBCL,22 Mar 2018 to 26 Mar 2018,5564000,10.00,4000
223,Lex Nimble Solutions Limited,Equity,LEX,12 Mar 2018 to 23 Mar 2018,1112000,10.00,2000
224,Yasho Industries Ltd,Equity,YASHO,19 Mar 2018 to 21 Mar 2018,2899200,10.00,1200
225,Active Clothing Co Ltd,Equity,ACTIVE,12 Mar 2018 to 16 Mar 2018,4086000,10.00,2000
226,Advitiya Trade India Ltd,Equity,ADVITIYA,14 Mar 2018 to 16 Mar 2018,2872000,10.00,8000
227,Ridings Consulting Engineers India Ltd,Equity,RIDINGS,14 Mar 2018 to 16 Mar 2018,3640000,10.00,8000
228,Shreeshay Engineers Limited,Equity,SHREESHAY,09 Mar 2018 to 13 Mar 2018,3600000,10.00,8000
229,Inflame Appliances Ltd,Equity,INFLAME,06 Mar 2018 to 08 Mar 2018,1200000,10.00,2000
230,East India Securities Ltd,Equity,EIS,05 Mar 2018 to 07 Mar 2018,1008000,10.00,160
231,Angel Fibers Limited,Equity,ANGEL,20 Feb 2018 to 23 Feb 2018,6748000,10.00,4000
232,Bhatia Communications & Retail (India) Limited,Equity,BHATIA,08 Feb 2018 to 12 Feb 2018,1650000,10.00,1000
233,Tasty Dairy Specialities Limited,Equity,TDSL,07 Feb 2018 to 12 Feb 2018,5430000,10.00,3000
234,Kenvi Jewels Ltd,Equity,KENVI,02 Feb 2018 to 07 Feb 2018,1860000,10.00,3000
235,Lorenzini Apparels Limited,Equity,LAL,31 Jan 2018 to 06 Feb 2018,4470000,10.00,10000
236,Gujarat Hy Spin Limited,Equity,GUJHYSPIN,25 Jan 2018 to 31 Jan 2018,4450000,10.00,10000
237,Medico Remedies Ltd,Equity,MEDICO,29 Jan 2018 to 31 Jan 2018,1099200,10.00,1200
238,Gautam Gems Limited,Equity,GGL,24 Jan 2018 to 30 Jan 2018,2100000,10.00,3000
239,Ashoka Metcast Ltd,Equity,AML,23 Jan 2018 to 25 Jan 2018,6000000,10.00,6000
240,Crp Risk Management Limited,Equity,CRPRML,18 Jan 2018 to 22 Jan 2018,5136000,10.00,2000
241,Jhandewalas Food Limited,Equity,JFL,29 Dec 2017 to 04 Jan 2018,2910000,10.00,2000
242,Ritwhik Facility Management Services Ltd,Equity,RFMSLTD,29 Dec 2017 to 03 Jan 2018,810000,10.00,3000
243,Diggi Multitrade Limited,Equity,DML,11 Dec 2017 to 14 Dec 2017,2600000,10.00,10000
244,Kids Medical Systems Ltd,Equity,TKC,11 Dec 2017 to 14 Dec 2017,2000000,10.00,4000
245,Mrc Exim Limited,Equity,MRCEXIM,06 Dec 2017 to 08 Dec 2017,3000000,10.00,8000
